what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1329745120508
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1329745128636
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1329745139831
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1329745141357
executed,command,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.junitShortcut.rerunLast",1329745141450
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1329745148240
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329745155542
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1329745156825
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1329745156899
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329745156931
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329745162594
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329745165116
activated,perspective,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui.cvsPerspective",1329745167392
activated,view,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.ccvs.ui.RepositoriesView",1329745167419
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329745170139
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329745171399
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1329745176381
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1329745176420
activated,view,org.eclipse.mylyn.tasks.ui,3.4.1.v20100730-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1329745179639
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1329745179662
closed,view,org.eclipse.mylyn.tasks.ui,3.4.1.v20100730-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1329745179675
activated,view,org.springframework.ide.eclipse.ui,2.7.0.201107040453-RELEASE,"org.springframework.ide.eclipse.ui.navigator.springExplorer",1329745181629
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1329745181647
closed,view,org.springframework.ide.eclipse.ui,2.7.0.201107040453-RELEASE,"org.springframework.ide.eclipse.ui.navigator.springExplorer",1329745181655
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329745189407
started,bundle,net.sf.webcat.eclipse.submitter,1.3.0,"net.sf.webcat.eclipse.submitter",1329745192059
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329745250676
started,bundle,net.sf.webcat.eclipse.submitter.ui,1.3.0,"net.sf.webcat.eclipse.submitter.ui",1329745255107
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329745255168
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329745255388
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329745255428
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329745261696
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329745265158
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329745272111
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329745275572
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329745276859
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329745276915
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329745281458
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1329745285906
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.exit",1329745286930
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1329745287126
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1329745287136
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1329745287138
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1329745287139
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1329745287139
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1329745287140
stopped,bundle,edu.buffalo.cse.jive.launching,1.9.1.v20111117b,"edu.buffalo.cse.jive.launching",1329745287141
stopped,bundle,edu.buffalo.cse.jive.console,1.9.1.v20111117b,"edu.buffalo.cse.jive.console",1329745287141
stopped,bundle,edu.buffalo.cse.jive.ui,1.9.1.v20111117b,"edu.buffalo.cse.jive.ui",1329745287141
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1329745287141
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1329745287143
stopped,bundle,edu.rice.cs.drjava,0.9.8,"edu.rice.cs.drjava",1329745287148
stopped,bundle,oracle.eclipse.tools.envcheck,3.2.3.201107052022,"oracle.eclipse.tools.envcheck",1329745287148
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1329745287148
stopped,bundle,edu.buffalo.cse.green.relationship.association,3.5.0,"edu.buffalo.cse.green.relationship.association",1329745287372
stopped,bundle,edu.buffalo.cse.green.relationship.composition,3.5.0,"edu.buffalo.cse.green.relationship.composition",1329745287490
stopped,bundle,edu.buffalo.cse.green.relationship.dependency,3.5.0,"edu.buffalo.cse.green.relationship.dependency",1329745287577
